Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;Date;Value;
1971;70.58;2000;118.62;1971;126.76;1984;144.24;1976;21.47;1976;69.50;1976;98.29;1979;0.45;1980;4.39;1976;2.85;1987;377.39;1998;0.00;1976;0.20;1985;0.00;1986;9.38;1976;215.35;1984;274.15;1971;0.35;1969;0.04;1976;3.03;1992;2.16;1985;360.75;1993;0.00;1976;0.00;1976;0.08;
1972;69.92;2001;115.67;1972;126.40;1985;153.20;1977;20.39;1977;72.48;1977;101.80;1980;0.22;1982;2.66;1977;4.36;1988;328.73;2000;0.00;1977;0.27;1986;0.00;1988;0.00;1977;252.34;1985;332.71;1973;0.71;1970;0.00;1977;1.81;1993;1.02;1986;278.95;1994;0.00;1977;0.00;1977;0.00;
1973;68.14;2002;117.84;1973;132.67;1986;163.25;1978;22.30;1978;71.81;1978;110.46;1981;0.30;1983;1.47;1978;4.36;1989;330.94;2001;0.00;1978;0.16;1987;0.00;1989;0.37;1978;244.44;1986;367.30;1974;2.27;1971;0.24;1978;1.13;1994;1.63;1987;289.11;1995;0.00;1978;0.00;1978;0.00;
1974;80.32;2003;102.24;1974;149.02;1987;147.63;1979;24.38;1979;81.03;1979;115.32;1982;0.13;1984;1.48;1981;3.09;1990;327.55;2002;0.00;1979;0.00;1988;0.00;1991;0.00;1979;238.25;1987;336.21;1975;2.30;1972;0.00;1979;0.76;1995;2.86;1988;318.13;1996;0.00;1979;0.00;1979;0.00;
1975;74.67;2004;112.75;1975;137.54;1988;144.24;1980;24.31;1980;78.20;1980;116.04;1983;0.16;1985;3.59;1982;2.01;1991;341.38;2004;0.00;1980;0.71;1989;0.00;1992;0.00;1980;172.82;1988;320.95;1976;1.44;1973;0.54;1980;1.21;1996;3.30;1989;270.98;1997;0.00;1980;0.00;1980;0.00;
1976;75.25;2005;111.68;1976;129.69;1989;144.45;1981;23.93;1981;73.36;1981;109.39;1984;0.10;1986;2.97;1984;1.50;1992;334.73;2005;0.00;1981;0.02;1990;0.00;1993;0.00;1981;225.57;1989;328.08;1987;0.25;1974;1.78;1981;1.16;1997;2.05;1990;271.96;2000;0.00;1981;0.00;1981;0.00;
1977;77.77;2006;120.79;1977;139.18;1990;151.91;1982;20.78;1982;74.83;1982;107.80;1991;0.05;1987;1.33;1985;4.14;1993;332.37;2006;0.00;1982;0.00;1991;0.00;1994;0.00;1982;284.75;1990;315.93;1988;0.65;1975;0.57;1982;1.04;1998;2.65;1991;304.17;2001;0.00;1982;0.00;1982;0.00;
1978;81.91;2007;109.83;1978;147.89;1991;136.73;1983;18.09;1983;66.11;1983;93.93;1992;0.05;1988;2.92;1986;4.19;1994;315.90;2007;0.00;1983;0.01;1992;0.00;1995;3.66;1983;259.01;1991;347.97;1989;0.80;1976;0.24;1983;0.98;1999;0.94;1992;276.39;2002;0.00;1983;0.00;1983;0.00;
1979;85.11;2008;110.70;1979;158.76;1992;138.38;1984;21.11;1984;63.27;1984;100.00;1993;0.12;1989;3.92;1987;2.70;1995;338.03;2008;0.00;1984;6.26;1993;0.00;1996;0.00;1984;266.59;1992;340.80;1995;0.25;1977;0.05;1984;1.75;2000;1.90;1993;291.26;2003;0.00;1984;0.00;1984;0.00;
1980;97.51;2009;128.94;1980;172.45;1993;135.49;1985;23.42;1985;71.66;1985;118.97;1994;0.05;1991;1.97;1988;2.64;1996;295.56;2009;0.00;1985;3.68;1994;0.00;1998;0.00;1985;264.33;1993;354.08;1996;0.22;1978;0.00;1985;6.60;2001;3.49;1994;329.73;2004;0.00;1985;0.00;1985;2.95;
1981;83.50;2010;110.70;1981;160.11;1994;135.49;1986;24.21;1986;75.32;1986;120.45;1995;0.04;1992;0.99;1989;6.59;1997;339.74;2011;0.00;1986;4.74;1995;0.00;2001;0.00;1986;331.73;1994;333.95;2004;0.37;1979;0.00;1986;4.22;2002;0.88;1995;336.75;2005;0.00;1986;0.00;1986;2.87;
1982;83.60;2011;105.35;1982;162.63;1995;129.78;1987;21.77;1987;60.82;1987;99.65;1996;0.05;1993;1.50;1990;3.34;1998;283.68;2012;0.00;1987;0.00;1998;0.00;2003;0.00;1987;316.38;1995;289.21;2009;0.27;1980;0.00;1987;2.04;2003;1.10;1996;317.45;2006;0.00;1988;0.00;1987;0.00;
1983;75.44;2012;114.91;1983;144.59;1996;126.95;1988;25.28;1988;54.91;1988;96.44;1997;0.13;1994;0.86;1991;1.60;1999;306.86;2013;0.00;1988;0.00;1999;0.00;2008;0.54;1988;318.82;1996;281.15;2015;0.00;1981;0.00;1988;4.54;2004;1.38;1997;308.90;2008;0.00;1989;0.00;1988;0.00;
